model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_2_20230622_160445,0.990267,0.115977,0.988639,0.0415508,0.180066,0.0324238,21073,0.029081,StackedEnsemble
XGBoost_grid_1_AutoML_2_20230622_160445_model_2,0.989102,0.123898,0.987598,0.0432609,0.185791,0.0345185,4459,0.005342,XGBoost
StackedEnsemble_BestOfFamily_1_AutoML_2_20230622_160445,0.988979,0.121714,0.986853,0.0415422,0.18348,0.033665,13752,0.021842,StackedEnsemble
XGBoost_grid_1_AutoML_2_20230622_160445_model_1,0.988744,0.133527,0.986645,0.0448218,0.189958,0.036084,10847,0.009141,XGBoost
XGBoost_grid_1_AutoML_2_20230622_160445_model_3,0.988684,0.126887,0.98611,0.0441117,0.18612,0.0346407,10683,0.006654,XGBoost
XGBoost_3_AutoML_2_20230622_160445,0.988515,0.126718,0.986081,0.0423976,0.184782,0.0341446,7141,0.007904,XGBoost
XGBoost_2_AutoML_2_20230622_160445,0.988037,0.139209,0.985669,0.0469801,0.192927,0.0372209,5687,0.006642,XGBoost
XGBoost_1_AutoML_2_20230622_160445,0.987907,0.130929,0.984838,0.0441185,0.188491,0.0355287,7838,0.007149,XGBoost
GBM_grid_1_AutoML_2_20230622_160445_model_2,0.984448,0.152111,0.981983,0.055532,0.208912,0.0436442,37655,0.018198,GBM
GBM_4_AutoML_2_20230622_160445,0.984192,0.156449,0.981483,0.0576692,0.211827,0.0448707,21027,0.017929,GBM
GBM_2_AutoML_2_20230622_160445,0.984065,0.15442,0.981367,0.0560878,0.210679,0.0443854,17976,0.017149,GBM
GBM_3_AutoML_2_20230622_160445,0.984026,0.154564,0.980875,0.0565183,0.210889,0.0444742,16420,0.018226,GBM
GBM_1_AutoML_2_20230622_160445,0.983764,0.154254,0.9808,0.0597028,0.210664,0.0443792,22201,0.019185,GBM
GBM_5_AutoML_2_20230622_160445,0.983557,0.15618,0.981072,0.0575388,0.211585,0.0447682,16796,0.01959,GBM
GBM_grid_1_AutoML_2_20230622_160445_model_1,0.981641,0.169685,0.977631,0.0628247,0.221055,0.0488652,51787,0.016892,GBM
XRT_1_AutoML_2_20230622_160445,0.970424,0.267622,0.966619,0.0853452,0.275622,0.0759676,13963,0.01413,DRF
DRF_1_AutoML_2_20230622_160445,0.969611,0.264551,0.964644,0.0857974,0.273953,0.07505,13291,0.013969,DRF
DeepLearning_1_AutoML_2_20230622_160445,0.935712,1.0199,0.916271,0.125378,0.53825,0.289713,3036,0.008894,DeepLearning
DeepLearning_grid_1_AutoML_2_20230622_160445_model_1,0.92865,0.740765,0.902666,0.122467,0.353165,0.124726,62097,0.018297,DeepLearning
GLM_1_AutoML_2_20230622_160445,0.909837,0.44525,0.877668,0.142559,0.354493,0.125665,11787,0.003691,GLM
